symbol,industry,year,roic,roe,roa,equity,invested_capital,total_assets,nopat,equity_billion,invested_capital_billion,total_assets_billion,nopat_billion,roic_pct,roe_pct,roa_pct
ACM,Tài nguyên Cơ bản,2023,-0.0236,-0.0289,-0.0186,342987096092.0,421494097119,533701264118.0,-9928521203.0,342.99,421.49,533.7,-9.93,-2.36,-2.89,-1.86
ACM,Tài nguyên Cơ bản,2024,-0.0216,-0.0261,-0.0168,377614880333.0,456121881360,585785011480.0,-9862192924.0,377.61,456.12,585.79,-9.86,-2.16,-2.61,-1.68
ACS,Xây dựng và Vật liệu,2015,0.0298,0.0806,0.0178,50633213663.0,136865856404,229496621500.0,4081577249.0,50.63,136.87,229.5,4.08,2.98,8.06,1.78
ACS,Xây dựng và Vật liệu,2016,0.0488,0.1288,0.0232,55776264800.0,147065610198,309764623614.0,7183839761.0,55.78,147.07,309.76,7.18,4.88,12.88,2.32
ACS,Xây dựng và Vật liệu,2017,0.0466,0.1217,0.0156,57293590443.0,149759931189,447865802717.0,6971608365.0,57.29,149.76,447.87,6.97,4.66,12.17,1.56
ACS,Xây dựng và Vật liệu,2018,0.0596,0.1601,0.0127,62347208365.0,167555458319,783499589398.0,9984491665.0,62.35,167.56,783.5,9.98,5.96,16.01,1.27
ACS,Xây dựng và Vật liệu,2019,0.0198,0.0715,0.0044,59178921600.0,213292484781,968415846899.0,4231548791.0,59.18,213.29,968.42,4.23,1.98,7.15,0.44
ACS,Xây dựng và Vật liệu,2020,0.0538,0.1769,0.0249,67072850736.0,220766823832,477176742789.0,11867288531.0,67.07,220.77,477.18,11.87,5.38,17.69,2.49
ACS,Xây dựng và Vật liệu,2021,0.0112,0.034,0.0052,72607553448.0,219755559374,473018806861.0,2469149503.0,72.61,219.76,473.02,2.47,1.12,3.4,0.52
ACS,Xây dựng và Vật liệu,2022,0.0,0.0001,0.0,72412103880.0,185907790626,361195571695.0,7894482.0,72.41,185.91,361.2,0.01,0.0,0.01,0.0
ACS,Xây dựng và Vật liệu,2023,0.0001,0.0003,0.0001,72431737152.0,177033984133,383360556021.0,19633272.0,72.43,177.03,383.36,0.02,0.01,0.03,0.01
ACS,Xây dựng và Vật liệu,2024,0.0,0.0,0.0,72430707450.0,155930074608,374302036422.0,933625.0,72.43,155.93,374.3,0.0,0.0,0.0,0.0
ACV,Hàng & Dịch vụ Công nghiệp,2015,0.0515,0.085,0.0391,20614014669941.0,34040652478222,44851705733557.0,1753100686138.0,20614.01,34040.65,44851.71,1753.1,5.15,8.5,3.91
ACV,Hàng & Dịch vụ Công nghiệp,2016,0.0692,0.1085,0.0574,25053686312950.0,39280555572491,47336713540858.0,2718027903244.0,25053.69,39280.56,47336.71,2718.03,6.92,10.85,5.74
ACV,Hàng & Dịch vụ Công nghiệp,2017,0.0985,0.1505,0.0838,27384495248999.0,41860282917961,49162925380362.0,4121720178571.0,27384.5,41860.28,49162.93,4121.72,9.85,15.05,8.38
