symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
BTP,0.0586,0.0729,0.0552,0.0877,0.1091,0.0548,0.0806,0.0475,0.0514,0.0357,"Điện, nước & xăng dầu khí đốt"
BTS,0.0413,0.0364,0.001,0.0072,0.0213,0.0068,0.0215,0.0223,-0.0399,-0.0915,Xây dựng và Vật liệu
BTT,0.1281,0.1035,0.124,0.1576,0.1466,0.0462,0.0136,0.0484,0.1274,0.1206,Bán lẻ
BTU,0.1134,0.1342,0.1449,0.1904,0.1732,0.1516,0.1224,0.1271,0.1474,0.1842,Hàng & Dịch vụ Công nghiệp
BTV,0.0665,0.077,0.0793,0.0388,0.0356,-0.1464,-0.1091,0.0838,0.1099,0.0819,Du lịch và Giải trí
BTW,0.056,0.0743,0.084,0.1144,0.1494,0.1518,0.1064,0.1548,0.1688,0.1735,"Điện, nước & xăng dầu khí đốt"
BVB,0.0059,0.0004,0.0028,0.0081,0.01,0.0129,0.0135,0.0245,0.0032,0.0128,Ngân hàng
BVG,-0.037,-0.0228,0.0101,0.0136,0.0058,-0.0485,-1.29,0.1864,0.0962,0.0962,Tài nguyên Cơ bản
BVH,0.0888,0.0841,0.1101,0.0679,0.0605,0.0727,0.0968,0.0728,0.0726,0.0829,Bảo hiểm
BVN,0.0369,0.0387,0.0253,0.0101,-0.0752,-0.0428,0.0341,0.2168,0.1787,0.137,Hàng cá nhân & Gia dụng
BVS,0.0785,0.0596,0.0685,0.0568,0.0711,0.0479,0.0608,0.0465,0.0345,0.0371,Dịch vụ tài chính
BWA,0.0577,0.0531,0.0475,0.0826,0.0586,0.0672,0.0418,0.0404,0.0228,0.0222,"Điện, nước & xăng dầu khí đốt"
BWE,0.044,0.0,0.0382,0.0497,0.098,0.0755,0.1006,0.0873,0.0656,0.053,"Điện, nước & xăng dầu khí đốt"
BWS,0.2598,0.2879,0.2472,0.2941,0.2704,0.2396,0.2054,0.181,0.2205,0.2366,"Điện, nước & xăng dầu khí đốt"
BXH,0.0629,0.1044,0.033,0.0265,0.0412,0.0455,0.0225,0.0252,0.0186,0.0104,Hàng & Dịch vụ Công nghiệp
C21,0.148,0.0808,0.2513,0.1192,0.065,0.009,0.0018,-0.0045,0.0217,0.0185,Bất động sản
C32,0.2998,0.2107,0.1462,0.141,0.0986,0.101,0.094,0.022,-0.0345,0.0114,Xây dựng và Vật liệu
C47,0.0163,0.0022,0.0149,0.0353,0.0033,0.0205,0.0427,0.0137,0.0128,0.0033,Xây dựng và Vật liệu
C4G,0.0182,0.0337,0.0255,0.0254,0.0194,0.0126,0.0119,0.0256,0.0193,0.0263,Xây dựng và Vật liệu
C69,0.0278,0.0261,0.0387,0.029,0.0189,0.0312,0.019,0.0223,0.0092,0.0195,Xây dựng và Vật liệu
C92,0.0515,0.0123,0.0023,0.0021,-0.0279,0.01,0.0071,0.0003,0.0011,0.0048,Xây dựng và Vật liệu
CAG,0.0874,0.0737,0.0213,0.0218,0.0281,0.0311,0.0357,0.0419,0.0211,-0.0046,Hàng & Dịch vụ Công nghiệp
CAN,0.0962,0.0045,0.0333,-0.0146,0.069,0.0733,0.0958,0.0417,0.0357,0.0096,Thực phẩm và đồ uống
CAT,0.0844,0.0554,0.0713,0.0817,0.0781,0.1622,0.0875,0.0887,0.0653,0.0833,Thực phẩm và đồ uống
CBI,-0.0247,-0.1328,0.0012,0.0113,-0.1027,0.0605,0.2408,0.0055,0.0011,-0.1513,Tài nguyên Cơ bản
CC1,0.0408,0.0085,0.0068,0.032,0.0149,0.0072,0.0573,0.0204,0.0258,0.0217,Xây dựng và Vật liệu
CC4,0.0272,0.0112,0.001,0.0016,0.0049,0.0095,0.0509,0.0208,0.0511,0.0352,Xây dựng và Vật liệu
CCA,0.0183,0.0085,0.0154,0.0373,0.0264,0.011,0.0356,0.069,0.0057,0.0143,Thực phẩm và đồ uống
CCI,0.1059,0.1005,0.1069,0.1081,0.1086,0.1094,0.1163,0.0941,0.095,0.1204,"Điện, nước & xăng dầu khí đốt"
CCL,0.0041,0.0091,0.0205,0.0449,0.0558,0.0821,0.0869,0.0531,0.0583,0.042,Bất động sản
CCM,0.018,0.0573,0.1212,0.0973,0.1311,0.1416,0.08,0.0787,0.0913,0.0738,Xây dựng và Vật liệu
CCP,0.0868,0.0834,0.0469,0.0018,0.0116,0.0007,-0.1093,-0.0803,-0.0369,0.4479,Hàng & Dịch vụ Công nghiệp
CCR,0.0175,0.0227,0.0231,0.0451,0.068,0.0806,0.1424,0.0511,0.0498,0.058,Hàng & Dịch vụ Công nghiệp
CCT,0.0032,-0.0402,0.0003,0.0003,0.0148,0.0041,0.0082,0.0032,0.0211,0.0121,Hàng & Dịch vụ Công nghiệp
CCV,0.1544,0.1966,0.2775,0.3439,0.3027,0.2818,0.1906,0.2399,0.2327,0.3115,Xây dựng và Vật liệu
CDC,0.0313,0.0348,0.0561,0.0666,0.075,0.0644,0.0379,0.0086,0.0092,0.0156,Xây dựng và Vật liệu
CDG,0.0022,0.0841,0.1123,0.0757,0.0486,0.0891,0.0588,0.0862,0.0421,0.0275,Xây dựng và Vật liệu
CDH,0.0446,0.0503,0.0788,0.0918,0.0951,0.1398,0.1383,0.1385,0.1433,0.145,Hàng & Dịch vụ Công nghiệp
CDN,0.1446,0.1416,0.1236,0.1027,0.1185,0.1312,0.1451,0.1465,0.1364,0.1331,Hàng & Dịch vụ Công nghiệp
CDO,0.1552,0.0572,0.0037,-0.0426,-0.0676,-0.0482,-0.0788,-0.1112,-0.0468,-0.0093,Xây dựng và Vật liệu
CDR,0.049,0.0487,0.0516,0.0567,0.05,0.0217,0.0158,0.0099,0.0311,0.0214,Xây dựng và Vật liệu
CEO,0.1,0.0817,0.0875,0.0892,0.1012,-0.0191,0.0156,0.0636,0.0171,0.0243,Bất động sản
CET,0.0465,0.0865,0.034,0.009,-0.0128,0.0085,0.0019,0.0148,0.0014,0.0009,Hàng cá nhân & Gia dụng
CFV,0.0615,0.0713,0.0994,0.0997,-0.0159,0.0265,0.0369,0.0072,0.0134,0.2254,Thực phẩm và đồ uống
CGV,-0.0592,0.0754,0.0791,-0.0177,0.0004,0.0011,-0.0381,-0.0028,0.009,0.0185,Xây dựng và Vật liệu
CH5,0.082,0.0975,0.089,0.093,0.0866,0.08,0.0602,0.0616,0.0439,0.049,Xây dựng và Vật liệu
CHC,0.0739,0.0672,0.0852,0.0803,0.0648,0.0642,0.0792,0.0427,0.0036,0.0112,Xây dựng và Vật liệu
CHP,0.1069,0.0873,0.1369,0.035,0.064,0.0818,0.0767,0.1695,0.1228,0.1215,"Điện, nước & xăng dầu khí đốt"
CHS,0.171,0.0074,0.0802,0.0799,0.0998,0.1117,0.0882,0.1079,0.121,0.1089,"Điện, nước & xăng dầu khí đốt"
CI5,0.0928,0.0523,0.0205,0.0234,0.0081,0.0048,0.0044,0.0047,0.0066,0.0087,Xây dựng và Vật liệu
CIA,0.5538,0.1414,0.1556,0.1137,0.0678,-0.1247,-0.1685,0.1839,0.0168,0.0137,Hàng & Dịch vụ Công nghiệp
CID,-0.1872,0.2538,0.0228,0.1289,0.1947,0.0786,0.1014,0.1235,0.152,0.1048,Xây dựng và Vật liệu
